person_id,name,age,phone,address,alias
N01,Aryan Maharaj,59,9219540831,"181, Sami, Ludhiana-338908",
N02,Oni Kannan,20,9896233790,"H.No. 265, Dugal Road, Naihati-161559",
N03,Caleb Sharaf,36,9362950628,"H.No. 849, Handa Path, Ranchi 413164",
N04,Janya Gaba,33,9249827706,"419, Walla Street, Ujjain 648350",
N05,Azad Mutti,25,9826600539,"H.No. 395, Tata Ganj, Berhampore-423884",
N06,Mohini Pathak,53,9193349856,"71/01, Dutta Street, Kavali-669784",
N07,Ishwar Yadav,56,9553035110,"H.No. 462, Aggarwal Chowk, Orai 814893",Bunty
N08,Kashvi Edwin,21,9131994523,"01, Mohanty Path, Howrah 911718",
N09,Kabir Soman,24,9334760738,"96/38, Muni Ganj, Dindigul-871331",
N10,Ansh Karpe,33,9642621108,"H.No. 031, Narayanan Nagar, Kottayam-473829",
N11,Xavier Solanki,57,9128492780,"H.No. 165, Roy Marg, Meerut-065133",
N12,Saumya Dey,54,9313500298,"H.No. 73, Savant Zila, Dhanbad-132677",Chintu
N13,Nandini Bhargava,60,9853041955,"H.No. 647, Sampath Road, Bhatpara-430980",
N14,Dakshesh Bedi,53,9550455977,"H.No. 812, Bir Zila, Sambhal-939909",
N15,Oni Virk,33,9582334538,"534, Deep Marg, Berhampore 107991",
N16,Tanay Toor,56,9398704996,"H.No. 13, Mane Path, Bahraich 980841",Guddu
N17,Aishani D’Alia,19,9914763202,"H.No. 49, Oza Ganj, Bilaspur 401640",
N18,Gauri De,29,9849621470,"78/680, Borra Zila, Bongaigaon 598262",
N19,Darika Patla,46,9465341213,"315, Ray Circle, Patiala 260256",
N20,Amara Dutta,36,9266944844,"H.No. 733, Palla Chowk, Ambattur 036541",
N21,Indali Upadhyay,32,9919795579,"H.No. 142, Lanka, Moradabad-556981",
N22,Ranveer Kumar,40,9209747451,"H.No. 883, Sankar Path, Bathinda 148465",
N23,Chakrika Datta,24,9507943839,"62/994, Acharya Marg, Baranagar-699577",
N24,Tanay Vaidya,25,9485451171,"14/895, Keer Zila, Kamarhati-200379",
R01,Tamanna Sachdeva,40,9748245888,"63, Ahluwalia Street, Khandwa-287083",
R02,Tanmayi Deol,34,9966647391,"98, Sehgal Marg, Fatehpur-434873",
R03,Ria Brahmbhatt,20,9883543540,"H.No. 55, Buch Circle, Saharanpur 623166",
